Date,Close,High,Low,Open,Volume
13-12-2007,26.88,26.88,26.88,26.88,0
14-12-2007,28.14,28.14,28.14,28.14,0
18-12-2007,28.65,28.65,28.65,28.65,0
19-12-2007,28.53,28.53,28.53,28.53,0
20-12-2007,28.37,28.37,28.37,28.37,0
21-12-2007,27.36,27.36,27.36,27.36,0
24-12-2007,27.36,27.36,27.36,27.36,0
27-12-2007,26.29,26.29,26.29,26.29,0
28-12-2007,26.32,26.32,26.32,26.32,0
31-12-2007,26.88,26.88,26.88,26.88,0
02-01-2008,26.67,26.67,26.67,26.67,0
03-01-2008,26.7,26.7,26.7,26.7,0
04-01-2008,27.08,27.08,27.08,27.08,0
07-01-2008,27.56,27.56,27.56,27.56,0
08-01-2008,27.25,27.25,27.25,27.25,0
09-01-2008,28.25,28.25,28.25,28.25,0
10-01-2008,28.91,28.91,28.91,28.91,0
11-01-2008,29.1,29.1,29.1,29.1,0
14-01-2008,28.75,28.75,28.75,28.75,0
15-01-2008,28.99,28.99,28.99,28.99,0
16-01-2008,30.17,30.17,30.17,30.17,0
17-01-2008,30.24,30.24,30.24,30.24,0
18-01-2008,30.32,30.32,30.32,30.32,0
21-01-2008,32.31,32.31,32.31,32.31,0
22-01-2008,33.64,33.64,33.64,33.64,0
23-01-2008,33.76,33.76,33.76,33.76,0
24-01-2008,33.3,33.3,33.3,33.3,0
25-01-2008,33.24,33.24,33.24,33.24,0
28-01-2008,33.89,33.89,33.89,33.89,0
29-01-2008,33.61,33.61,33.61,33.61,0
30-01-2008,32.68,32.68,32.68,32.68,0
31-01-2008,33.02,33.02,33.02,33.02,0
01-02-2008,32.23,32.23,32.23,32.23,0
04-02-2008,31.07,31.07,31.07,31.07,0
05-02-2008,33.06,33.06,33.06,33.06,0
06-02-2008,32.95,32.95,32.95,32.95,0
07-02-2008,32.41,32.41,32.41,32.41,0
08-02-2008,32.36,32.36,32.36,32.36,0
11-02-2008,33.09,33.09,33.09,33.09,0
12-02-2008,32.39,32.39,32.39,32.39,0
13-02-2008,31.48,31.48,31.48,31.48,0
14-02-2008,31.19,31.19,31.19,31.19,0
15-02-2008,31.54,31.54,31.54,31.54,0
18-02-2008,30.4,30.4,30.4,30.4,0
19-02-2008,30.58,30.58,30.58,30.58,0
20-02-2008,30.29,30.29,30.29,30.29,0
21-02-2008,29.51,29.51,29.51,29.51,0
22-02-2008,29.15,29.15,29.15,29.15,0
25-02-2008,28.81,28.81,28.81,28.81,0
26-02-2008,28.59,28.59,28.59,28.59,0
27-02-2008,28.45,28.45,28.45,28.45,0
28-02-2008,28.14,28.14,28.14,28.14,0
29-02-2008,27.68,27.68,27.68,27.68,0
03-03-2008,27.24,27.24,27.24,27.24,0
04-03-2008,27.07,27.07,27.07,27.07,0
05-03-2008,27.37,27.37,27.37,27.37,0
06-03-2008,26.53,26.53,26.53,26.53,0
07-03-2008,26.87,26.87,26.87,26.87,0
10-03-2008,27.63,27.63,27.63,27.63,0
11-03-2008,27.98,27.98,27.98,27.98,0
12-03-2008,27.5,27.5,27.5,27.5,0
13-03-2008,27.82,27.82,27.82,27.82,0
14-03-2008,27.84,27.84,27.84,27.84,0
17-03-2008,29.31,29.31,29.31,29.31,0
18-03-2008,29.49,29.49,29.49,29.49,0
19-03-2008,30.48,30.48,30.48,30.48,0
20-03-2008,31.88,31.88,31.88,31.88,0
25-03-2008,31.1,31.1,31.1,31.1,0
26-03-2008,31.07,31.07,31.07,31.07,0
27-03-2008,30.61,30.61,30.61,30.61,0
28-03-2008,30.58,30.58,30.58,30.58,0
31-03-2008,30.41,30.41,30.41,30.41,0
01-04-2008,30.9,30.9,30.9,30.9,0
02-04-2008,30.12,30.12,30.12,30.12,0
03-04-2008,29.76,29.76,29.76,29.76,0
04-04-2008,28.85,28.85,28.85,28.85,0
07-04-2008,28.04,28.04,28.04,28.04,0
08-04-2008,27.83,27.83,27.83,27.83,0
09-04-2008,26.87,26.87,26.87,26.87,0
10-04-2008,27.97,27.97,27.97,27.97,0
11-04-2008,26.83,26.83,26.83,26.83,0
14-04-2008,26.93,26.93,26.93,26.93,0
15-04-2008,26.1,26.1,26.1,26.1,0
16-04-2008,26.25,26.25,26.25,26.25,0
17-04-2008,25.75,25.75,25.75,25.75,0
18-04-2008,25.58,25.58,25.58,25.58,0
21-04-2008,25.37,25.37,25.37,25.37,0
22-04-2008,24.64,24.64,24.64,24.64,0
23-04-2008,24.44,24.44,24.44,24.44,0
24-04-2008,23.76,23.76,23.76,23.76,0
25-04-2008,23.67,23.67,23.67,23.67,0
29-04-2008,24.24,24.24,24.24,24.24,0
30-04-2008,24.08,24.08,24.08,24.08,0
05-05-2008,23.35,23.35,23.35,23.35,0
06-05-2008,22.8,22.8,22.8,22.8,0
07-05-2008,22.65,22.65,22.65,22.65,0
08-05-2008,22.68,22.68,22.68,22.68,0
09-05-2008,22.55,22.55,22.55,22.55,0
12-05-2008,22.67,22.67,22.67,22.67,0
13-05-2008,22.75,22.75,22.75,22.75,0
14-05-2008,22.36,22.36,22.36,22.36,0
15-05-2008,21.55,21.55,21.55,21.55,0
16-05-2008,21.25,21.25,21.25,21.25,0
19-05-2008,20.63,20.63,20.63,20.63,0
20-05-2008,21.15,21.15,21.15,21.15,0
21-05-2008,20.81,20.81,20.81,20.81,0
22-05-2008,20.66,20.66,20.66,20.66,0
23-05-2008,21.63,21.63,21.63,21.63,0
26-05-2008,21.49,21.49,21.49,21.49,0
27-05-2008,22.31,22.31,22.31,22.31,0
28-05-2008,22.97,22.97,22.97,22.97,0
29-05-2008,24.17,24.17,24.17,24.17,0
30-05-2008,24.26,24.26,24.26,24.26,0
02-06-2008,24.05,24.05,24.05,24.05,0
03-06-2008,24.34,24.34,24.34,24.34,0
04-06-2008,24.77,24.77,24.77,24.77,0
05-06-2008,24.26,24.26,24.26,24.26,0
06-06-2008,24.56,24.56,24.56,24.56,0
09-06-2008,24.75,24.75,24.75,24.75,0
10-06-2008,25.79,25.79,25.79,25.79,0
11-06-2008,26.84,26.84,26.84,26.84,0
12-06-2008,25.39,25.39,25.39,25.39,0
13-06-2008,24.82,24.82,24.82,24.82,0
17-06-2008,25.13,25.13,25.13,25.13,0
18-06-2008,25.83,25.83,25.83,25.83,0
19-06-2008,25.83,25.83,25.83,25.83,0
20-06-2008,26.65,26.65,26.65,26.65,0
23-06-2008,26.77,26.77,26.77,26.77,0
24-06-2008,27.27,27.27,27.27,27.27,0
25-06-2008,27.38,27.38,27.38,27.38,0
26-06-2008,27.52,27.52,27.52,27.52,0
27-06-2008,27.52,27.52,27.52,27.52,0
30-06-2008,26.53,26.53,26.53,26.53,0
01-07-2008,27.33,27.33,27.33,27.33,0
02-07-2008,28.31,28.31,28.31,28.31,0
03-07-2008,30.58,30.58,30.58,30.58,0
04-07-2008,30.67,30.67,30.67,30.67,0
07-07-2008,30.33,30.33,30.33,30.33,0
08-07-2008,30.87,30.87,30.87,30.87,0
09-07-2008,30.57,30.57,30.57,30.57,0
10-07-2008,31.02,31.02,31.02,31.02,0
11-07-2008,31.35,31.35,31.35,31.35,0
14-07-2008,30.99,30.99,30.99,30.99,0
15-07-2008,32.05,32.05,32.05,32.05,0
16-07-2008,32.21,32.21,32.21,32.21,0
17-07-2008,30.99,30.99,30.99,30.99,0
18-07-2008,30.69,30.69,30.69,30.69,0
21-07-2008,30.54,30.54,30.54,30.54,0
22-07-2008,31.15,31.15,31.15,31.15,0
23-07-2008,30.74,30.74,30.74,30.74,0
24-07-2008,30.27,30.27,30.27,30.27,0
